lat,lng,ADM_NM,주소
127.0768762,37.4976333,개포3동,서울특별시 강남구 대치2동 삼성로72길7 961-17
127.0390246,37.488238,도곡1동,서울특별시 강남구 도곡로18길 57 1층
127.1069322,37.4690635,세곡동,서울특별시 강남구 밤고개로 286 1층
127.0555247,37.5117955,삼성1동,서울특별시 강남구 봉은사로82길 23 3층
127.0597677,37.5026447,대치2동,서울특별시 강남구 삼성로72길 7 3층
127.0655854,37.5018618,대치2동,서울특별시 강남구 영동대로65길 11 4층
127.037213,37.517342,논현2동,서울특별시 강남구 학동로43길 17 2층
127.1224768,37.5291659,성내1동,서울특별시 강동구 성내로6길 16
126.9181537,37.4640019,난향동,서울특별시 관악구 난곡로9길 29-2 3층 아이랑 난향점
126.9164058,37.4824643,신사동,서울특별시 관악구 남부순환로 1491
126.9164058,37.4824643,신사동,서울특별시 관악구 남부순환로 1491 관악가족행복센터 2층 아이랑 신사점
126.9354571,37.4867291,보라매동,서울특별시 관악구 봉천로23길 6 3층 아이랑 보라매점
127.07271,37.5545928,군자동,서울특별시 광진구 동일로56가길 31 3층
127.0872275,37.5523123,능동,서울특별시 광진구 천호대로122길 30 1층
126.8840924,37.4934716,구로2동,서울특별시 구로구 가마산로 205 에바다빌딩 2층
126.8956207,37.4689627,독산1동,서울특별시 금천구 두산로 70 T동 1층 103호
126.8956207,37.4689627,독산1동,서울특별시 금천구 두산로 70 T동 L층 101호
126.9074696,37.4402422,시흥3동,서울특별시 금천구 시흥대로12길 82
126.8955105,37.4568644,시흥1동,서울특별시 금천구 시흥대로73길 70 지하1층
127.0800344,37.6247765,공릉2동,"서울특별시 노원구 공릉로 166-1 (공릉동, 공릉보건지소 4층)"
127.0724241,37.6361041,하계1동,"서울특별시 노원구 공릉로62길 18 (하계동, 하계어울림센터 1층)"
127.0650628,37.6610922,상계10동,"서울특별시 노원구 노원로34길 43 (상계동, 노원중앙도서관 지하1층)"
127.0832665,37.6729133,상계3·4동,"서울특별시 노원구 덕릉로 859 (상계동, 상계3.4동 공공복합청사 3~5층)"
127.0595995,37.6409731,상계6·7동,"서울특별시 노원구 덕릉로70길 100 (상계동, 노원아이돌봄센터 1층)"
127.0549781,37.6799006,상계1동,"서울특별시 노원구 동일로 1697 (상계동, 상계1동주민센터 3층)"
127.0546913,37.6659535,상계8동,"서울특별시 노원구 동일로227길 49 (상계동, 참새어린이공원 내)"
127.0686647,37.6183634,월계3동,"서울특별시 노원구 마들로 31 119동 101호(월계동, 그랑빌아파트)"
127.0639372,37.636219,하계2동,"서울특별시 노원구 섬밭로 229 9동 110호(하계동, 벽산아파트)"
127.0616286,37.6314519,월계3동,"서울특별시 노원구 월계로 378 (월계동, 월계헬스케어센터 3층)"
127.0836693,37.6504615,중계본동,"서울특별시 노원구 중계로14바길 43 (중계동, 할렐루야교회 1층)"
127.0736095,37.6585918,중계4동,"서울특별시 노원구 한글비석로 371 (중계동, 중계온마을센터 나동 1층)"
127.0649178,37.665256,상계9동,"서울특별시 노원구 한글비석로 480 204동 103호(상계동, 보람아파트2단지)"
127.0875283,37.625742,공릉2동,"서울특별시 노원구 화랑로51길 78 503동 101호(공릉동, 비선아파트)"
127.0358114,37.6640428,방학1동,서울특별시 도봉구 도당로 70 103동 201호
127.0550856,37.5749077,답십리1동,서울특별시 동대문구 답십리로45길 47 3층
127.0685888,37.5723443,장안1동,서울특별시 동대문구 답십리로66길 3
127.0298979,37.5722724,용신동,서울특별시 동대문구 무학로 89 2층
