주소,평균가격,평균면적,lat,lng,ADM_NM
서울특별시 종로구 내수동 72,200050,162.515,126.9720984,37.573598,사직동
서울특별시 종로구 내수동 73,185000,124.17,126.9722416,37.5726327,사직동
서울특별시 종로구 내수동 95,181000,147.62,126.9705893,37.574191,사직동
서울특별시 종로구 사직동 9,179000,158.99,126.9689015,37.5744263,사직동
서울특별시 종로구 신영동 254,45000,59.22,126.9603335,37.6055355,부암동
서울특별시 종로구 평창동 179-5,56000,84,126.9676054,37.607002,평창동
서울특별시 종로구 평창동 45,155000,152.06,126.9737587,37.6081443,평창동
서울특별시 종로구 평창동 595,18500,30.46,126.9636437,37.6047037,평창동
서울특별시 종로구 평창동 596,72500,72.45,126.9786911,37.6109361,평창동
서울특별시 종로구 평창동 66-1,100203.5,224.57,126.9759355,37.6096834,평창동
서울특별시 종로구 평창동 72,124000,111.643333333333,126.9756964,37.6091348,평창동
서울특별시 용산구 한남동 1-349,120000,59.5,127.0123731,37.5391847,한남동
서울특별시 용산구 한남동 1-44,390000,206.96,127.0137187,37.5384739,한남동
서울특별시 용산구 한남동 258,135000,143.15,127.0086871,37.5335797,한남동
서울특별시 용산구 한남동 26-10,282000,179.55,127.0108779,37.5342649,한남동
서울특별시 용산구 한남동 263-10,45000,40.18,127.0086463,37.5342104,한남동
서울특별시 용산구 한남동 27-2,309066.666666667,228.21,127.0107589,37.5345569,한남동
서울특별시 용산구 한남동 29-4,53000,48.69,127.0090914,37.5345484,한남동
서울특별시 용산구 한남동 386,900000,247.265,127.0099305,37.5315378,한남동
서울특별시 용산구 한남동 410,1350000,268.67,127.0114434,37.531401,한남동
서울특별시 용산구 한남동 522-1,135000,81.83,127.0077382,37.5303016,한남동
서울특별시 용산구 한남동 72-1,140000,73.025,127.0079126,37.5344694,한남동
서울특별시 용산구 한남동 723-3,44700,60.63,127.0055263,37.5381475,한남동
서울특별시 용산구 한남동 732-19,172500,73.1075,126.9980569,37.5341638,한남동
서울특별시 용산구 한남동 737-28,62000,49.41,126.9979203,37.5350855,한남동
서울특별시 용산구 한남동 802,120000,59.57,127.0083301,37.5297215,한남동
서울특별시 용산구 한남동 805,421250,200.49,127.004835,37.5276939,한남동
서울특별시 용산구 한남동 807,220000,130.898,127.0038532,37.5284472,한남동
서울특별시 용산구 한남동 810,774375,206.508125,127.0094956,37.5369784,한남동
서울특별시 용산구 한남동 825,170000,82.5437,127.0033021,37.5391372,한남동
서울특별시 용산구 한남동 827,130000,65.17,127.0032705,37.5394932,한남동
서울특별시 용산구 한남동 829,897500,206.8953,127.0034202,37.5362914,한남동
서울특별시 성동구 하왕십리동 1002,116250,74.5945,127.0266933,37.5608597,왕십리2동
서울특별시 성동구 하왕십리동 1050,125000,112.26,127.0267863,37.5631094,왕십리2동
서울특별시 성동구 하왕십리동 1061,86500,59.936,127.0253044,37.5589775,왕십리2동
서울특별시 성동구 하왕십리동 1071,125750,59.99,127.0247839,37.5604823,왕십리2동
서울특별시 성동구 하왕십리동 890-446,40000,39.09,127.0276196,37.5634419,왕십리2동
서울특별시 성동구 하왕십리동 966-18,13275,12.84,127.032885,37.5623192,왕십리2동
서울특별시 성동구 하왕십리동 966-19,23000,16.76,127.0326954,37.5624081,왕십리2동
서울특별시 성동구 하왕십리동 992,95000,84.675,127.0278845,37.5611646,왕십리2동
서울특별시 성동구 마장동 768-17,77400,84.56,127.0441335,37.5678226,마장동
서울특별시 성동구 마장동 784,97375,62.35875,127.0450273,37.5649915,마장동
서울특별시 성동구 마장동 817,104000,59.76,127.0401412,37.5661605,마장동
서울특별시 성동구 마장동 818,90000,63.49,127.0425656,37.5694739,마장동
서울특별시 성동구 마장동 819,113000,84.8,127.0391282,37.5654055,마장동
서울특별시 성동구 마장동 820,100000,84.97,127.0406788,37.5630119,마장동
서울특별시 성동구 마장동 822,101500,84.99,127.0437142,37.5689443,마장동
서울특별시 성동구 마장동 834,20000,18.06,127.0390924,37.5633935,마장동
서울특별시 성동구 마장동 835,77800,70.88,127.0390052,37.5708117,마장동
